year,month,station_id,reservoir,volume_af,water_year
1998,9,BUMW1,BUM,3185.321,1998
1998,10,BUMW1,BUM,3424.5910000000003,1999
1998,11,BUMW1,BUM,13785.268,1999
1998,12,BUMW1,BUM,21538.912,1999
1999,1,BUMW1,BUM,15685.023,1999
1999,2,BUMW1,BUM,7247.308999999999,1999
1999,3,BUMW1,BUM,7836.7796,1999
1999,4,BUMW1,BUM,13013.473,1999
1999,5,BUMW1,BUM,37598.595,1999
1999,6,BUMW1,BUM,69229.25600000001,1999
1999,7,BUMW1,BUM,54777.46,1999
1999,8,BUMW1,BUM,18804.354,1999
1999,9,BUMW1,BUM,5430.5997,1999
1999,10,BUMW1,BUM,5327.0617,2000
1999,11,BUMW1,BUM,32377.772999999997,2000
1999,12,BUMW1,BUM,19914.278,2000
2000,1,BUMW1,BUM,8619.391,2000
2000,2,BUMW1,BUM,7273.0985,2000
2000,3,BUMW1,BUM,7123.8859999999995,2000
2000,4,BUMW1,BUM,28567.957,2000
2000,5,BUMW1,BUM,40219.185000000005,2000
2000,6,BUMW1,BUM,41404.865,2000
2000,7,BUMW1,BUM,14662.099,2000
2000,8,BUMW1,BUM,5810.764,2000
2000,9,BUMW1,BUM,4859.4220000000005,2000
2000,10,BUMW1,BUM,5249.2023,2001
2000,11,BUMW1,BUM,4445.2543000000005,2001
2000,12,BUMW1,BUM,3605.3085,2001
2001,1,BUMW1,BUM,3601.9318,2001
2001,2,BUMW1,BUM,3003.597,2001
2001,3,BUMW1,BUM,6706.6917,2001
2001,4,BUMW1,BUM,12383.042,2001
2001,5,BUMW1,BUM,35867.496,2001
2001,6,BUMW1,BUM,17901.821,2001
2001,7,BUMW1,BUM,6415.4897,2001
2001,8,BUMW1,BUM,4156.407,2001
2001,9,BUMW1,BUM,2012.092,2001
2001,10,BUMW1,BUM,3462.8909000000003,2002
2001,11,BUMW1,BUM,15352.181,2002
2001,12,BUMW1,BUM,10146.143,2002
2002,1,BUMW1,BUM,23005.188000000002,2002
2002,2,BUMW1,BUM,9935.542,2002
2002,3,BUMW1,BUM,10221.034,2002
2002,4,BUMW1,BUM,24982.882,2002
2002,5,BUMW1,BUM,43321.438,2002
2002,6,BUMW1,BUM,65185.9,2002
2002,7,BUMW1,BUM,19054.35,2002
2002,8,BUMW1,BUM,6054.576,2002
2002,9,BUMW1,BUM,3494.3415999999997,2002
2002,10,BUMW1,BUM,2830.1706000000004,2003
2002,11,BUMW1,BUM,4166.308,2003
2002,12,BUMW1,BUM,5513.084400000001,2003
