reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
KAC,QD,2007,1,23.451612903225808,31,1441.9834710743803,2007
KAC,QD,2007,2,23.928571428571427,28,1328.9256198347107,2007
KAC,QD,2007,3,27.870967741935484,31,1713.719008264463,2007
KAC,QD,2007,4,26.2,30,1559.0082644628098,2007
KAC,QD,2007,5,476.38709677419354,31,29291.900826446283,2007
KAC,QD,2007,6,380.6,30,22647.272727272728,2007
KAC,QD,2007,7,267.5806451612903,31,16452.89256198347,2007
KAC,QD,2007,8,570.258064516129,31,35063.801652892565,2007
KAC,QD,2007,9,1213.6333333333334,30,72216.19834710743,2007
KAC,QD,2007,10,452.19354838709677,31,27804.29752066116,2008
KAC,QD,2007,11,36.233333333333334,30,2156.03305785124,2008
KAC,QD,2007,12,28.93548387096774,31,1779.1735537190084,2008
KAC,QD,2008,1,34.67741935483871,31,2132.2314049586776,2008
KAC,QD,2008,2,30,29,1725.6198347107438,2008
KAC,QD,2008,3,25.903225806451612,31,1592.7272727272727,2008
KAC,QD,2008,4,181.33333333333334,30,10790.082644628099,2008
KAC,QD,2008,5,103.7741935483871,31,6380.826446280992,2008
KAC,QD,2008,6,393.06666666666666,30,23389.090909090908,2008
KAC,QD,2008,7,314.61290322580646,31,19344.793388429753,2008
KAC,QD,2008,8,235.3548387096774,31,14471.404958677685,2008
KAC,QD,2008,9,1196.6333333333334,30,71204.62809917355,2008
KAC,QD,2008,10,466.8709677419355,31,28706.776859504134,2009
KAC,QD,2008,11,37.733333333333334,30,2245.289256198347,2009
KAC,QD,2008,12,33.774193548387096,31,2076.694214876033,2009
KAC,QD,2009,1,42.38709677419355,31,2606.280991735537,2009
KAC,QD,2009,2,34.357142857142854,28,1908.0991735537189,2009
KAC,QD,2009,3,34.354838709677416,31,2112.396694214876,2009
KAC,QD,2009,4,102.6,30,6105.123966942149,2009
KAC,QD,2009,5,762.9032258064516,31,46909.09090909091,2009
KAC,QD,2009,6,463,30,27550.4132231405,2009
KAC,QD,2009,7,223.70967741935485,31,13755.371900826447,2009
KAC,QD,2009,8,681.6451612903226,31,41912.72727272727,2009
KAC,QD,2009,9,1198.6333333333334,30,71323.63636363637,2009
KAC,QD,2009,10,533.8064516129032,31,32822.479338842975,2010
KAC,QD,2009,11,26.533333333333335,30,1578.8429752066115,2010
KAC,QD,2009,12,23.64516129032258,31,1453.8842975206612,2010
KAC,QD,2010,1,17.096774193548388,31,1051.2396694214876,2010
KAC,QD,2010,2,12.464285714285714,28,692.2314049586777,2010
KAC,QD,2010,3,13,31,799.3388429752066,2010
KAC,QD,2010,4,46.766666666666666,30,2782.809917355372,2010
KAC,QD,2010,5,110.7741935483871,31,6811.239669421488,2010
KAC,QD,2010,6,177.53333333333333,30,10563.966942148762,2010
KAC,QD,2010,7,236.09677419354838,31,14517.02479338843,2010
KAC,QD,2010,8,537.9677419354839,31,33078.347107438014,2010
KAC,QD,2010,9,1078.2666666666667,30,64161.32231404959,2010
KAC,QD,2010,10,448.6774193548387,31,27588.09917355372,2011
KAC,QD,2010,11,46.63333333333333,30,2774.876033057851,2011
KAC,QD,2010,12,43.935483870967744,31,2701.4876033057853,2011
KAC,QD,2011,1,45.16129032258065,31,2776.8595041322315,2011
KAC,QD,2011,2,47.285714285714285,28,2626.115702479339,2011
KAC,QD,2011,3,53.516129032258064,31,3290.5785123966944,2011
KAC,QD,2011,4,596.2,30,35476.36363636364,2011
KAC,QD,2011,5,452.5048387096774,31,27823.438016528926,2011
KAC,QD,2011,6,623.0333333333333,30,37073.05785123967,2011
KAC,QD,2011,7,334.4193548387097,31,20562.644628099173,2011
KAC,QD,2011,8,398.51612903225805,31,24503.801652892562,2011
KAC,QD,2011,9,1231.9666666666667,30,73307.10743801654,2011
KAC,QD,2011,10,470.5806451612903,31,28934.87603305785,2012
KAC,QD,2011,11,78.93333333333334,30,4696.859504132231,2012
KAC,QD,2011,12,95.6774193548387,31,5882.975206611571,2012
KAC,QD,2012,1,53.903225806451616,31,3314.380165289256,2012
KAC,QD,2012,2,54.86206896551724,29,3155.702479338843,2012
KAC,QD,2012,3,72.74193548387096,31,4472.727272727273,2012
KAC,QD,2012,4,46.53333333333333,30,2768.9256198347107,2012
KAC,QD,2012,5,452.83870967741933,31,27843.96694214876,2012
KAC,QD,2012,6,704.7333333333333,30,41934.545454545456,2012
KAC,QD,2012,7,320.06451612903226,31,19680,2012
KAC,QD,2012,8,200.1290322580645,31,12305.454545454546,2012
KAC,QD,2012,9,1195.3666666666666,30,71129.25619834711,2012
KAC,QD,2012,10,535.741935483871,31,32941.48760330579,2013
KAC,QD,2012,11,51.233333333333334,30,3048.595041322314,2013
KAC,QD,2012,12,53,31,3258.8429752066118,2013
KAC,QD,2013,1,51.67741935483871,31,3177.5206611570247,2013
KAC,QD,2013,2,48.75,28,2707.438016528926,2013
KAC,QD,2013,3,49.03225806451613,31,3014.876033057851,2013
KAC,QD,2013,4,123.46666666666667,30,7346.7768595041325,2013
KAC,QD,2013,5,607,31,37322.97520661157,2013
